#The MIME name of this charset.
Mwindows-1250

#Name as a Display Charset (used on Options screen)
OWinLatin2 (cp1250)

#
#    Name:     cp1250_WinLatin2 to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp1250_WinLatin2 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp1250_WinLatin2 order
#
#0x00    U+0000  #NULL
#0x01    U+0001  #START OF HEADING
#0x02    U+0002  #START OF TEXT
#0x03    U+0003  #END OF TEXT
#0x04    U+0004  #END OF TRANSMISSION
#0x05    U+0005  #ENQUIRY
#0x06    U+0006  #ACKNOWLEDGE
#0x07    U+0007  #BELL
#0x08    U+0008  #BACKSPACE
#0x09    U+0009  #HORIZONTAL TABULATION
#0x0A    U+000A  #LINE FEED
#0x0B    U+000B  #VERTICAL TABULATION
#0x0C    U+000C  #FORM FEED
#0x0D    U+000D  #CARRIAGE RETURN
#0x0E    U+000E  #SHIFT OUT
#0x0F    U+000F  #SHIFT IN
#0x10    U+0010  #DATA LINK ESCAPE
#0x11    U+0011  #DEVICE CONTROL ONE
#0x12    U+0012  #DEVICE CONTROL TWO
#0x13    U+0013  #DEVICE CONTROL THREE
#0x14    U+0014  #DEVICE CONTROL FOUR
#0x15    U+0015  #NEGATIVE ACKNOWLEDGE
#0x16    U+0016  #SYNCHRONOUS IDLE
#0x17    U+0017  #END OF TRANSMISSION BLOCK
#0x18    U+0018  #CANCEL
#0x19    U+0019  #END OF MEDIUM
#0x1A    U+001A  #SUBSTITUTE
#0x1B    U+001B  #ESCAPE
#0x1C    U+001C  #FILE SEPARATOR
#0x1D    U+001D  #GROUP SEPARATOR
#0x1E    U+001E  #RECORD SEPARATOR
#0x1F    U+001F  #UNIT SEPARATOR
0x20    U+0020  #SPACE
0x21    U+0021  #EXCLAMATION MARK
0x22    U+0022  #QUOTATION MARK
0x23    U+0023  #NUMBER SIGN
0x24    U+0024  #DOLLAR SIGN
0x25    U+0025  #PERCENT SIGN
0x26    U+0026  #AMPERSAND
0x27    U+0027  #APOSTROPHE
0x28    U+0028  #LEFT PARENTHESIS
0x29    U+0029  #RIGHT PARENTHESIS
0x2A    U+002A  #ASTERISK
0x2B    U+002B  #PLUS SIGN
0x2C    U+002C  #COMMA
0x2D    U+002D  #HYPHEN-MINUS
0x2E    U+002E  #FULL STOP
0x2F    U+002F  #SOLIDUS
0x30    U+0030  #DIGIT ZERO
0x31    U+0031  #DIGIT ONE
0x32    U+0032  #DIGIT TWO
0x33    U+0033  #DIGIT THREE
0x34    U+0034  #DIGIT FOUR
0x35    U+0035  #DIGIT FIVE
0x36    U+0036  #DIGIT SIX
0x37    U+0037  #DIGIT SEVEN
0x38    U+0038  #DIGIT EIGHT
0x39    U+0039  #DIGIT NINE
0x3A    U+003A  #COLON
0x3B    U+003B  #SEMICOLON
0x3C    U+003C  #LESS-THAN SIGN
0x3D    U+003D  #EQUALS SIGN
0x3E    U+003E  #GREATER-THAN SIGN
0x3F    U+003F  #QUESTION MARK
0x40    U+0040  #COMMERCIAL AT
0x41    U+0041  #LATIN CAPITAL LETTER A
0x42    U+0042  #LATIN CAPITAL LETTER B
0x43    U+0043  #LATIN CAPITAL LETTER C
0x44    U+0044  #LATIN CAPITAL LETTER D
0x45    U+0045  #LATIN CAPITAL LETTER E
0x46    U+0046  #LATIN CAPITAL LETTER F
0x47    U+0047  #LATIN CAPITAL LETTER G
0x48    U+0048  #LATIN CAPITAL LETTER H
0x49    U+0049  #LATIN CAPITAL LETTER I
0x4A    U+004A  #LATIN CAPITAL LETTER J
0x4B    U+004B  #LATIN CAPITAL LETTER K
0x4C    U+004C  #LATIN CAPITAL LETTER L
0x4D    U+004D  #LATIN CAPITAL LETTER M
0x4E    U+004E  #LATIN CAPITAL LETTER N
